0	1	0.025
0	2	0.05
4	3	0.075
5	4	0.1
7	5	0.125
7	6	0.15
9	7	0.175
9	8	0.2
10	9	0.225
10	10	0.25
10	11	0.275
11	12	0.3
11	13	0.325
12	14	0.35
12	15	0.375
12	16	0.4
12	17	0.425
12	18	0.45
13	19	0.475
13	20	0.5
13	21	0.525
13	22	0.55
13	23	0.575
13	24	0.6
14	25	0.625
14	26	0.65
15	27	0.675
15	28	0.7
16	29	0.725
16	30	0.75
16	31	0.775
16	32	0.8
16	33	0.825
17	34	0.85
17	35	0.875
17	36	0.9
17	37	0.925
17	38	0.95
20	39	0.975
20	40	1
